id,Time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
21,2214530816,0.0871503,0.172623,2.38921,0.0644574,-0.0293771,2.41039,-0.0903384,-0.162721,2.38936,0.231743,-0.17877,2.431,-0.138112,-0.398463,2.34654,0.298759,-0.387621,2.39789,-0.159516,-0.53051,2.16542,0.137727,-0.530204,2.35386,-0.170437,-0.575967,2.11122,0.122108,-0.593137,2.33537,0.0719363,-0.351283,2.42176,0.0805343,-0.408041,2.37254,0.00377142,-0.478465,2.35213,0.162249,-0.483254,2.37349,-0.0179504,-0.550082,1.9976,0.258965,-0.534975,2.05234,-0.0366544,-0.838849,1.93511,0.278169,-0.827089,1.98194,-0.0252372,-0.873612,1.85268,0.289662,-0.861799,1.89937
22,2214530819,0.0866702,0.172621,2.38829,0.0648006,-0.029178,2.40619,-0.0907876,-0.163333,2.38783,0.231753,-0.178062,2.42924,-0.138276,-0.39856,2.34648,0.298952,-0.386419,2.39713,-0.15734,-0.529338,2.16395,0.138342,-0.52998,2.35412,-0.167398,-0.574395,2.1094,0.122755,-0.592844,2.33564,0.0719374,-0.351099,2.42151,0.0804921,-0.408039,2.37252,0.0037508,-0.478521,2.35221,0.162296,-0.483187,2.37348,-0.0179217,-0.550069,1.99756,0.258708,-0.535097,2.05256,-0.0363669,-0.838324,1.93488,0.278125,-0.826939,1.98186,-0.0250427,-0.873194,1.85253,0.289598,-0.861685,1.89933
23,2214530822,0.0862066,0.172603,2.38637,0.0651704,-0.0292009,2.40072,-0.0910814,-0.163858,2.3852,0.232168,-0.177053,2.42572,-0.138825,-0.398424,2.34607,0.298992,-0.38562,2.3964,-0.156443,-0.528909,2.16336,0.139035,-0.5299,2.35384,-0.166168,-0.573837,2.10873,0.123468,-0.592698,2.33538,0.0720333,-0.350722,2.42086,0.0804682,-0.408024,2.37248,0.00373817,-0.478568,2.35227,0.162363,-0.483113,2.37347,-0.0178886,-0.550046,1.99753,0.258449,-0.535191,2.05274,-0.0360234,-0.837756,1.93468,0.278085,-0.826758,1.98179,-0.0248268,-0.872773,1.85241,0.289526,-0.861559,1.89931
24,2214530826,0.0861154,0.172382,2.38137,0.0656084,-0.0296179,2.39329,-0.0911926,-0.164151,2.38087,0.233208,-0.175697,2.42043,-0.139647,-0.398081,2.34555,0.299317,-0.384015,2.39485,-0.155725,-0.528574,2.16292,0.140673,-0.529784,2.35293,-0.165132,-0.57345,2.10822,0.125128,-0.592498,2.33447,0.0724081,-0.349872,2.4192,0.0805238,-0.40791,2.37231,0.00374278,-0.478595,2.35233,0.162579,-0.482922,2.37339,-0.0178537,-0.550048,1.99751,0.258232,-0.535292,2.05285,-0.0349713,-0.837143,1.93458,0.278053,-0.826601,1.98174,-0.0240028,-0.872343,1.85241,0.289464,-0.861465,1.8993
25,2214530829,0.0872001,0.172404,2.37168,0.0656147,-0.0307766,2.37911,-0.0896729,-0.163102,2.37309,0.235042,-0.174507,2.41357,-0.141161,-0.397121,2.34461,0.299827,-0.382486,2.393,-0.15511,-0.528334,2.16262,0.308626,-0.519258,2.23851,-0.163655,-0.573286,2.10792,0.26017,-0.583638,2.2427,0.0728844,-0.347837,2.41392,0.0806415,-0.407422,2.37132,0.00373138,-0.478513,2.35232,0.162981,-0.482565,2.37277,-0.0178153,-0.55009,1.99747,0.258066,-0.535439,2.05272,-0.0339465,-0.836694,1.93453,0.278005,-0.826455,1.98174,-0.0230959,-0.872096,1.85249,0.289393,-0.861393,1.89935
26,2214530832,0.0902247,0.172426,2.35609,0.06908,-0.0338805,2.36278,-0.087909,-0.160289,2.36353,0.237952,-0.17205,2.40555,-0.143566,-0.395056,2.34311,0.301108,-0.379796,2.38975,-0.153846,-0.527976,2.16244,0.347181,-0.519392,2.21287,-0.160939,-0.573055,2.10779,0.331714,-0.581554,2.19451,0.0744541,-0.343343,2.40383,0.0813472,-0.404561,2.36763,0.00370709,-0.476926,2.35147,0.163915,-0.481118,2.37083,-0.0177676,-0.550184,1.99743,0.257929,-0.535737,2.05204,-0.0329689,-0.836468,1.93459,0.277928,-0.826345,1.98181,-0.0221421,-0.872089,1.8527,0.289265,-0.861388,1.89954
27,2214530839,0.0947981,0.17208,2.33483,0.0773258,-0.0408831,2.34196,-0.0858381,-0.156139,2.35009,0.242997,-0.168154,2.39345,-0.146863,-0.391949,2.34091,0.301812,-0.377966,2.38588,-0.152398,-0.527478,2.16231,0.375225,-0.520557,2.19347,-0.157807,-0.572796,2.1078,0.360581,-0.581118,2.17485,0.0771751,-0.338088,2.39161,0.0826845,-0.400506,2.36252,0.00375112,-0.474155,2.34972,0.165264,-0.47915,2.36824,-0.0177283,-0.550267,1.99737,0.257755,-0.536201,2.05088,-0.0316279,-0.836296,1.93482,0.277847,-0.826262,1.98194,-0.0207861,-0.872275,1.85316,0.289102,-0.861503,1.89988
28,2214530840,0.0988959,0.170123,2.30595,0.0827742,-0.0465134,2.32327,-0.0843765,-0.152586,2.33416,0.249581,-0.162948,2.37597,-0.151502,-0.388506,2.33697,0.302543,-0.376837,2.38078,-0.150777,-0.527267,2.16191,0.375859,-0.523864,2.19064,-0.154121,-0.57301,2.1077,0.37828,-0.581029,2.16248,0.0801487,-0.333449,2.37908,0.0842684,-0.396444,2.35687,0.00385618,-0.471402,2.34777,0.16712,-0.476816,2.36499,-0.0177008,-0.550423,1.99726,0.257621,-0.536841,2.04907,-0.0303822,-0.836226,1.93504,0.277788,-0.826203,1.9821,-0.0195774,-0.872641,1.85365,0.288915,-0.861754,1.90036
29,2214530842,0.101579,0.166311,2.282,0.0883948,-0.0536867,2.29735,-0.0823711,-0.150604,2.31362,0.254944,-0.159776,2.35919,-0.157802,-0.384846,2.32917,0.305796,-0.376891,2.37061,-0.131351,-0.517235,2.15012,0.373647,-0.534744,2.18677,-0.131868,-0.564811,2.09921,0.382282,-0.586306,2.15696,0.0834883,-0.330379,2.36375,0.0862617,-0.393171,2.34946,0.00413767,-0.46926,2.34523,0.169431,-0.474314,2.36039,-0.0176907,-0.550608,1.99713,0.257624,-0.537938,2.04576,-0.0291654,-0.836256,1.93542,0.277688,-0.826188,1.98245,-0.0181481,-0.873381,1.85453,0.288694,-0.86237,1.90135
30,2214530846,0.107516,0.158098,2.25198,0.0942944,-0.0640685,2.26751,-0.0783687,-0.151211,2.28902,0.260931,-0.160149,2.33992,-0.164576,-0.38099,2.31796,0.309926,-0.378009,2.35965,-0.124927,-0.51615,2.14593,0.384824,-0.538392,2.17702,-0.121239,-0.564102,2.09593,0.375909,-0.594586,2.15705,0.0865437,-0.329728,2.34614,0.0882966,-0.391229,2.33946,0.00448189,-0.467575,2.34044,0.171452,-0.472494,2.35527,-0.0176881,-0.550895,1.99689,0.257739,-0.539413,2.0413,-0.0276745,-0.836512,1.9364,0.277579,-0.826216,1.98295,-0.0162104,-0.874857,1.85649,0.288497,-0.863368,1.90278
31,2214530849,0.113124,0.146283,2.2179,0.101064,-0.07354,2.23962,-0.073894,-0.154799,2.26229,0.268127,-0.163133,2.31419,-0.171076,-0.377575,2.30429,0.315223,-0.380044,2.3472,-0.120073,-0.51821,2.14337,0.379885,-0.543751,2.17646,-0.112502,-0.566831,2.0949,0.368441,-0.601819,2.15711,0.089726,-0.331057,2.3288,0.0904932,-0.390919,2.32822,0.00488506,-0.466768,2.33478,0.173519,-0.471507,2.3489,-0.0177166,-0.551534,1.99624,0.258181,-0.541349,2.03511,-0.0263144,-0.836964,1.93756,0.277341,-0.826266,1.98385,-0.0144556,-0.876912,1.85892,0.288057,-0.864795,1.90499
32,2214530852,0.120947,0.133704,2.18225,0.10782,-0.0893939,2.20091,-0.069374,-0.159114,2.23808,0.274845,-0.171342,2.28335,-0.176329,-0.3746,2.28896,0.319411,-0.381438,2.33404,-0.0971845,-0.504325,2.1227,0.375234,-0.54835,2.17619,-0.0742456,-0.548444,2.07362,0.361918,-0.607875,2.15728,0.0930223,-0.335245,2.30679,0.0927124,-0.392913,2.31236,0.00518711,-0.467094,2.326,0.175579,-0.471922,2.33934,-0.0177768,-0.552172,1.99548,0.259244,-0.544164,2.02565,-0.0240589,-0.837608,1.93957,0.276891,-0.826275,1.98547,-0.0120389,-0.879779,1.86264,0.287028,-0.866846,1.90857
